

      x              z              Gas #   1



Node      Flux            Width          Conc
 1212     0.274457E-05     0.500000E-06     0.282706E-01
 1213     0.274457E-05     0.100000E-05     0.282705E-01
 1214     0.274456E-05     0.100000E-05     0.282704E-01
 1215     0.274456E-05     0.100000E-05     0.282702E-01
 1216     0.274455E-05     0.100000E-05     0.282698E-01
 1217     0.274454E-05     0.300000E-05     0.282692E-01
 1222     0.274471E-05     0.300000E-05     0.282777E-01
 1223     0.274487E-05     0.100000E-05     0.282852E-01
 1224     0.274502E-05     0.100000E-05     0.282923E-01
 1225     0.274516E-05     0.100000E-05     0.282991E-01
 1226     0.274529E-05     0.100000E-05     0.283057E-01
 1227     0.274543E-05     0.100000E-05     0.283122E-01
 1228     0.274556E-05     0.100000E-05     0.283186E-01
 1229     0.274569E-05     0.100000E-05     0.283249E-01
 1230     0.274582E-05     0.100000E-05     0.283312E-01
 1231     0.274596E-05     0.100000E-05     0.283376E-01
 1232     0.274609E-05     0.100000E-05     0.283439E-01
 1233     0.274622E-05     0.100000E-05     0.283502E-01
 1234     0.274635E-05     0.100000E-05     0.283564E-01
 1235     0.274647E-05     0.100000E-05     0.283627E-01
 1236     0.274660E-05     0.100000E-05     0.283688E-01
 1237     0.274672E-05     0.300000E-05     0.283747E-01
 1253     0.274399E-05     0.500000E-05     0.282429E-01
 1258     0.274401E-05     0.500000E-05     0.282436E-01
 1259     0.274641E-05     0.500000E-05     0.283594E-01
 1261     0.274647E-05     0.300000E-05     0.283624E-01
 1262     0.274657E-05     0.100000E-05     0.283674E-01
 1263     0.274665E-05     0.100000E-05     0.283711E-01
 1264     0.274670E-05     0.100000E-05     0.283734E-01
 1265     0.274671E-05     0.100000E-05     0.283742E-01
 1266     0.274669E-05     0.300000E-05     0.283732E-01
 1275     0.274344E-05     0.500000E-05     0.282163E-01
 1280     0.274344E-05     0.500000E-05     0.282164E-01
 1281     0.274538E-05     0.500000E-05     0.283098E-01
 1283     0.274538E-05     0.500000E-05     0.283099E-01
 1284     0.274592E-05     0.500000E-05     0.283358E-01
 1293     0.274291E-05     0.500000E-05     0.281910E-01
 1298     0.274292E-05     0.500000E-05     0.281914E-01
 1299     0.274442E-05     0.500000E-05     0.282634E-01
 1301     0.274442E-05     0.500000E-05     0.282635E-01
 1302     0.274516E-05     0.500000E-05     0.282991E-01
 1311     0.274208E-05     0.500000E-06     0.281514E-01
 1312     0.274209E-05     0.100000E-05     0.281519E-01
 1313     0.274212E-05     0.100000E-05     0.281534E-01
 1314     0.274218E-05     0.100000E-05     0.281559E-01
 1315     0.274225E-05     0.100000E-05     0.281595E-01
 1316     0.274234E-05     0.300000E-05     0.281640E-01
 1321     0.274245E-05     0.300000E-05     0.281693E-01
 1322     0.274244E-05     0.100000E-05     0.281687E-01
 1323     0.274244E-05     0.100000E-05     0.281685E-01
 1324     0.274244E-05     0.100000E-05     0.281687E-01
 1325     0.274245E-05     0.100000E-05     0.281693E-01
 1326     0.274247E-05     0.100000E-05     0.281702E-01
 1327     0.274250E-05     0.100000E-05     0.281717E-01
 1328     0.274255E-05     0.100000E-05     0.281737E-01
 1329     0.274261E-05     0.100000E-05     0.281766E-01
