*** GRID GENERATOR INFORMATION                                                  
NumNP   NumEl   NumBP    NumVL    IAX                                           
  1690      1443       383        41         1
   n           x           y                                                    
   1    0.000E+00    0.132E-02  0
   2    0.100E-05    0.132E-02  0
   3    0.200E-05    0.132E-02  0
   4    0.300E-05    0.132E-02  0
   5    0.400E-05    0.132E-02  0
   6    0.500E-05    0.132E-02  0
   7    0.600E-05    0.132E-02  0
   8    0.700E-05    0.132E-02  0
   9    0.800E-05    0.132E-02  0
  10    0.900E-05    0.132E-02  0
  11    0.100E-04    0.132E-02  0
  12    0.110E-04    0.132E-02  0
  13    0.120E-04    0.132E-02  0
  14    0.130E-04    0.132E-02  0
  15    0.140E-04    0.132E-02  0
  16    0.150E-04    0.132E-02  0
  17    0.160E-04    0.132E-02  0
  18    0.170E-04    0.132E-02  0
  19    0.180E-04    0.132E-02  0
  20    0.190E-04    0.132E-02  0
  21    0.200E-04    0.132E-02  0
  22    0.210E-04    0.132E-02  0
  23    0.220E-04    0.132E-02  0
  24    0.230E-04    0.132E-02  0
  25    0.240E-04    0.132E-02  0
  26    0.250E-04    0.132E-02  0
  27    0.260E-04    0.132E-02  0
  28    0.270E-04    0.132E-02  0
  29    0.280E-04    0.132E-02  0
  30    0.290E-04    0.132E-02  0
  31    0.300E-04    0.132E-02  0
  32    0.310E-04    0.132E-02  0
  33    0.320E-04    0.132E-02  0
  34    0.330E-04    0.132E-02  0
  35    0.340E-04    0.132E-02  0
  36    0.350E-04    0.132E-02  0
  37    0.360E-04    0.132E-02  0
  38    0.370E-04    0.132E-02  0
  39    0.380E-04    0.132E-02  0
  40    0.390E-04    0.132E-02  0
  41    0.400E-04    0.132E-02  0
  42    0.000E+00    0.127E-02  0
  43    0.100E-05    0.127E-02  0
  44    0.200E-05    0.127E-02  0
  45    0.300E-05    0.127E-02  0
  46    0.400E-05    0.127E-02  0
  47    0.500E-05    0.127E-02  0
  48    0.600E-05    0.127E-02  0
  49    0.700E-05    0.127E-02  0
  50    0.800E-05    0.127E-02  0
  51    0.900E-05    0.127E-02  0
  52    0.100E-04    0.127E-02  0
  53    0.110E-04    0.127E-02  0
  54    0.120E-04    0.127E-02  0
  55    0.130E-04    0.127E-02  0
  56    0.140E-04    0.127E-02  0
  57    0.150E-04    0.127E-02  0
  58    0.160E-04    0.127E-02  0
  59    0.170E-04    0.127E-02  0
  60    0.180E-04    0.127E-02  0
  61    0.190E-04    0.127E-02  0
  62    0.200E-04    0.127E-02  0
  63    0.210E-04    0.127E-02  0
  64    0.220E-04    0.127E-02  0
  65    0.230E-04    0.127E-02  0
  66    0.240E-04    0.127E-02  0
  67    0.250E-04    0.127E-02  0
  68    0.260E-04    0.127E-02  0
  69    0.270E-04    0.127E-02  0
  70    0.280E-04    0.127E-02  0
  71    0.290E-04    0.127E-02  0
  72    0.300E-04    0.127E-02  0
  73    0.310E-04    0.127E-02  0
  74    0.320E-04    0.127E-02  0
  75    0.330E-04    0.127E-02  0
  76    0.340E-04    0.127E-02  0
  77    0.350E-04    0.127E-02  0
  78    0.360E-04    0.127E-02  0
  79    0.370E-04    0.127E-02  0
  80    0.380E-04    0.127E-02  0
  81    0.390E-04    0.127E-02  0
  82    0.400E-04    0.127E-02  0
  83    0.000E+00    0.123E-02  0
  84    0.100E-05    0.123E-02  0
  85    0.200E-05    0.123E-02  0
  86    0.300E-05    0.123E-02  0
  87    0.400E-05    0.123E-02  0
  88    0.500E-05    0.123E-02  0
  89    0.600E-05    0.123E-02  0
  90    0.700E-05    0.123E-02  0
  91    0.800E-05    0.123E-02  0
  92    0.900E-05    0.123E-02  0
  93    0.100E-04    0.123E-02  0
  94    0.110E-04    0.123E-02  0
  95    0.120E-04    0.123E-02  0
  96    0.130E-04    0.123E-02  0
  97    0.140E-04    0.123E-02  0
  98    0.150E-04    0.123E-02  0
  99    0.160E-04    0.123E-02  0
 100    0.170E-04    0.123E-02  0
 101    0.180E-04    0.123E-02  0
 102    0.190E-04    0.123E-02  0
 103    0.200E-04    0.123E-02  0
 104    0.210E-04    0.123E-02  0
 105    0.220E-04    0.123E-02  0
 106    0.230E-04    0.123E-02  0
 107    0.240E-04    0.123E-02  0
 108    0.250E-04    0.123E-02  0
 109    0.260E-04    0.123E-02  0
 110    0.270E-04    0.123E-02  0
 111    0.280E-04    0.123E-02  0
 112    0.290E-04    0.123E-02  0
 113    0.300E-04    0.123E-02  0
 114    0.310E-04    0.123E-02  0
 115    0.320E-04    0.123E-02  0
 116    0.330E-04    0.123E-02  0
 117    0.340E-04    0.123E-02  0
 118    0.350E-04    0.123E-02  0
 119    0.360E-04    0.123E-02  0
 120    0.370E-04    0.123E-02  0
 121    0.380E-04    0.123E-02  0
 122    0.390E-04    0.123E-02  0
 123    0.400E-04    0.123E-02  0
 124    0.000E+00    0.118E-02  0
 125    0.100E-05    0.118E-02  0
 126    0.200E-05    0.118E-02  0
 127    0.300E-05    0.118E-02  0
 128    0.400E-05    0.118E-02  0
 129    0.500E-05    0.118E-02  0
 130    0.600E-05    0.118E-02  0
 131    0.700E-05    0.118E-02  0
 132    0.800E-05    0.118E-02  0
 133    0.900E-05    0.118E-02  0
 134    0.100E-04    0.118E-02  0
 135    0.110E-04    0.118E-02  0
 136    0.120E-04    0.118E-02  0
 137    0.130E-04    0.118E-02  0
 138    0.140E-04    0.118E-02  0
 139    0.150E-04    0.118E-02  0
 140    0.160E-04    0.118E-02  0
 141    0.170E-04    0.118E-02  0
 142    0.180E-04    0.118E-02  0
 143    0.190E-04    0.118E-02  0
 144    0.200E-04    0.118E-02  0
 145    0.210E-04    0.118E-02  0
 146    0.220E-04    0.118E-02  0
 147    0.230E-04    0.118E-02  0
 148    0.240E-04    0.118E-02  0
 149    0.250E-04    0.118E-02  0
 150    0.260E-04    0.118E-02  0
 151    0.270E-04    0.118E-02  0
 152    0.280E-04    0.118E-02  0
 153    0.290E-04    0.118E-02  0
 154    0.300E-04    0.118E-02  0
 155    0.310E-04    0.118E-02  0
 156    0.320E-04    0.118E-02  0
 157    0.330E-04    0.118E-02  0
 158    0.340E-04    0.118E-02  0
 159    0.350E-04    0.118E-02  0
 160    0.360E-04    0.118E-02  0
 161    0.370E-04    0.118E-02  0
 162    0.380E-04    0.118E-02  0
 163    0.390E-04    0.118E-02  0
 164    0.400E-04    0.118E-02  0
 165    0.000E+00    0.114E-02  0
 166    0.100E-05    0.114E-02  0
 167    0.200E-05    0.114E-02  0
 168    0.300E-05    0.114E-02  0
 169    0.400E-05    0.114E-02  0
 170    0.500E-05    0.114E-02  0
 171    0.600E-05    0.114E-02  0
 172    0.700E-05    0.114E-02  0
 173    0.800E-05    0.114E-02  0
 174    0.900E-05    0.114E-02  0
 175    0.100E-04    0.114E-02  0
 176    0.110E-04    0.114E-02  0
 177    0.120E-04    0.114E-02  0
 178    0.130E-04    0.114E-02  0
 179    0.140E-04    0.114E-02  0
 180    0.150E-04    0.114E-02  0
 181    0.160E-04    0.114E-02  0
 182    0.170E-04    0.114E-02  0
 183    0.180E-04    0.114E-02  0
 184    0.190E-04    0.114E-02  0
 185    0.200E-04    0.114E-02  0
 186    0.210E-04    0.114E-02  0
 187    0.220E-04    0.114E-02  0
 188    0.230E-04    0.114E-02  0
 189    0.240E-04    0.114E-02  0
 190    0.250E-04    0.114E-02  0
 191    0.260E-04    0.114E-02  0
 192    0.270E-04    0.114E-02  0
 193    0.280E-04    0.114E-02  0
 194    0.290E-04    0.114E-02  0
 195    0.300E-04    0.114E-02  0
 196    0.310E-04    0.114E-02  0
 197    0.320E-04    0.114E-02  0
 198    0.330E-04    0.114E-02  0
 199    0.340E-04    0.114E-02  0
 200    0.350E-04    0.114E-02  0
 201    0.360E-04    0.114E-02  0
 202    0.370E-04    0.114E-02  0
 203    0.380E-04    0.114E-02  0
 204    0.390E-04    0.114E-02  0
 205    0.400E-04    0.114E-02  0
 206    0.000E+00    0.109E-02  0
 207    0.100E-05    0.109E-02  0
 208    0.200E-05    0.109E-02  0
 209    0.300E-05    0.109E-02  0
 210    0.400E-05    0.109E-02  0
 211    0.500E-05    0.109E-02  0
 212    0.600E-05    0.109E-02  0
 213    0.700E-05    0.109E-02  0
 214    0.800E-05    0.109E-02  0
 215    0.900E-05    0.109E-02  0
 216    0.100E-04    0.109E-02  0
 217    0.110E-04    0.109E-02  0
 218    0.120E-04    0.109E-02  0
 219    0.130E-04    0.109E-02  0
 220    0.140E-04    0.109E-02  0
 221    0.150E-04    0.109E-02  0
 222    0.160E-04    0.109E-02  0
 223    0.170E-04    0.109E-02  0
 224    0.180E-04    0.109E-02  0
 225    0.190E-04    0.109E-02  0
 226    0.200E-04    0.109E-02  0
 227    0.210E-04    0.109E-02  0
 228    0.220E-04    0.109E-02  0
 229    0.230E-04    0.109E-02  0
 230    0.240E-04    0.109E-02  0
 231    0.250E-04    0.109E-02  0
 232    0.260E-04    0.109E-02  0
 233    0.270E-04    0.109E-02  0
 234    0.280E-04    0.109E-02  0
 235    0.290E-04    0.109E-02  0
 236    0.300E-04    0.109E-02  0
 237    0.310E-04    0.109E-02  0
 238    0.320E-04    0.109E-02  0
 239    0.330E-04    0.109E-02  0
 240    0.340E-04    0.109E-02  0
 241    0.350E-04    0.109E-02  0
 242    0.360E-04    0.109E-02  0
 243    0.370E-04    0.109E-02  0
 244    0.380E-04    0.109E-02  0
 245    0.390E-04    0.109E-02  0
 246    0.400E-04    0.109E-02  0
 247    0.000E+00    0.105E-02  0
 248    0.100E-05    0.105E-02  0
 249    0.200E-05    0.105E-02  0
 250    0.300E-05    0.105E-02  0
 251    0.400E-05    0.105E-02  0
 252    0.500E-05    0.105E-02  0
 253    0.600E-05    0.105E-02  0
 254    0.700E-05    0.105E-02  0
 255    0.800E-05    0.105E-02  0
 256    0.900E-05    0.105E-02  0
 257    0.100E-04    0.105E-02  0
 258    0.110E-04    0.105E-02  0
 259    0.120E-04    0.105E-02  0
 260    0.130E-04    0.105E-02  0
 261    0.140E-04    0.105E-02  0
 262    0.150E-04    0.105E-02  0
 263    0.160E-04    0.105E-02  0
 264    0.170E-04    0.105E-02  0
 265    0.180E-04    0.105E-02  0
 266    0.190E-04    0.105E-02  0
 267    0.200E-04    0.105E-02  0
 268    0.210E-04    0.105E-02  0
 269    0.220E-04    0.105E-02  0
 270    0.230E-04    0.105E-02  0
 271    0.240E-04    0.105E-02  0
 272    0.250E-04    0.105E-02  0
 273    0.260E-04    0.105E-02  0
 274    0.270E-04    0.105E-02  0
 275    0.280E-04    0.105E-02  0
 276    0.290E-04    0.105E-02  0
 277    0.300E-04    0.105E-02  0
 278    0.310E-04    0.105E-02  0
 279    0.320E-04    0.105E-02  0
 280    0.330E-04    0.105E-02  0
 281    0.340E-04    0.105E-02  0
 282    0.350E-04    0.105E-02  0
 283    0.360E-04    0.105E-02  0
 284    0.370E-04    0.105E-02  0
 285    0.380E-04    0.105E-02  0
 286    0.390E-04    0.105E-02  0
 287    0.400E-04    0.105E-02  0
 288    0.000E+00    0.100E-02  0
 289    0.100E-05    0.100E-02  0
 290    0.200E-05    0.100E-02  0
 291    0.300E-05    0.100E-02  0
 292    0.400E-05    0.100E-02  0
 293    0.500E-05    0.100E-02  0
 294    0.600E-05    0.100E-02  0
 295    0.700E-05    0.100E-02  0
 296    0.800E-05    0.100E-02  0
 297    0.900E-05    0.100E-02  0
 298    0.100E-04    0.100E-02  0
 299    0.110E-04    0.100E-02  0
 300    0.120E-04    0.100E-02  0
 301    0.130E-04    0.100E-02  0
 302    0.140E-04    0.100E-02  0
 303    0.150E-04    0.100E-02  0
 304    0.160E-04    0.100E-02  0
 305    0.170E-04    0.100E-02  0
 306    0.180E-04    0.100E-02  0
 307    0.190E-04    0.100E-02  0
 308    0.200E-04    0.100E-02  0
 309    0.210E-04    0.100E-02  0
 310    0.220E-04    0.100E-02  0
 311    0.230E-04    0.100E-02  0
 312    0.240E-04    0.100E-02  0
 313    0.250E-04    0.100E-02  0
 314    0.260E-04    0.100E-02  0
 315    0.270E-04    0.100E-02  0
 316    0.280E-04    0.100E-02  0
 317    0.290E-04    0.100E-02  0
 318    0.300E-04    0.100E-02  0
